Player,Player Link,Maidens,Overs,Runs,Wickets,Economy,Inns,Opposition,Ground,Start Date
MR Marsh,/ci/content/player/272450.html,0,5.0,22,1,4.40,2,South Africa,Port Elizabeth,9 Oct 2016
JR Hazlewood,/ci/content/player/288284.html,1,7.0,22,1,3.14,2,New Zealand,Melbourne,9 Dec 2016
PJ Cummins,/ci/content/player/489889.html,1,8.0,22,1,2.75,1,Bangladesh,The Oval,5 Jun 2017
GJ Maxwell,/ci/content/player/325026.html,0,4.0,24,1,6.00,1,Scotland,Hobart,14 Mar 2015
MR Marsh,/ci/content/player/272450.html,0,6.0,27,1,4.50,2,Pakistan,Brisbane,13 Jan 2017
SM Boland,/ci/content/player/446548.html,0,6.2,28,1,4.42,1,Sri Lanka,Pallekele,4 Sep 2016
GJ Maxwell,/ci/content/player/325026.html,0,6.0,29,1,4.83,2,England,Southampton,3 Sep 2015
JP Faulkner,/ci/content/player/270484.html,0,6.0,29,1,4.83,1,New Zealand,Auckland,30 Jan 2017
A Zampa,/ci/content/player/379504.html,0,8.0,30,1,3.75,1,Sri Lanka,Dambulla,31 Aug 2016
JW Hastings,/ci/content/player/228622.html,1,7.0,30,1,4.28,1,Sri Lanka,Pallekele,4 Sep 2016
JP Faulkner,/ci/content/player/270484.html,0,7.0,30,1,4.28,1,Sri Lanka,Pallekele,4 Sep 2016
MC Henriques,/ci/content/player/5961.html,0,5.0,30,1,6.00,1,Bangladesh,The Oval,5 Jun 2017
JP Faulkner,/ci/content/player/270484.html,0,7.5,31,1,3.95,1,Pakistan,Adelaide,20 Mar 2015
JP Faulkner,/ci/content/player/270484.html,0,6.0,31,1,5.16,2,West Indies,Basseterre,13 Jun 2016
TM Head,/ci/content/player/530011.html,0,3.0,31,1,10.33,2,South Africa,Durban,5 Oct 2016
A Zampa,/ci/content/player/379504.html,0,6.3,32,1,4.92,2,South Africa,Port Elizabeth,9 Oct 2016
TM Head,/ci/content/player/530011.html,0,8.0,33,1,4.12,1,Bangladesh,The Oval,5 Jun 2017
MC Henriques,/ci/content/player/5961.html,0,7.0,34,1,4.85,1,England,Hobart,23 Jan 2015
MR Marsh,/ci/content/player/272450.html,1,4.0,35,1,8.75,2,England,Southampton,3 Sep 2015
MA Starc,/ci/content/player/311592.html,0,7.0,35,1,5.00,2,England,Lord's,5 Sep 2015
SM Boland,/ci/content/player/446548.html,1,10.0,36,1,3.60,1,Sri Lanka,Dambulla,31 Aug 2016
GJ Maxwell,/ci/content/player/325026.html,0,6.0,37,1,6.16,1,England,Sydney,16 Jan 2015
GJ Maxwell,/ci/content/player/325026.html,0,7.0,37,1,5.28,1,New Zealand,Melbourne,29 Mar 2015
MA Starc,/ci/content/player/311592.html,1,7.0,37,1,5.28,2,New Zealand,Sydney,4 Dec 2016
XJ Doherty,/ci/content/player/5017.html,0,10.0,38,1,3.80,1,England,Sydney,16 Jan 2015
JW Hastings,/ci/content/player/228622.html,0,10.0,39,1,3.90,1,New Zealand,Auckland,3 Feb 2016
JS Paris,/ci/content/player/501012.html,0,8.0,40,1,5.00,1,India,Brisbane,15 Jan 2016
NM Lyon,/ci/content/player/272279.html,0,10.0,40,1,4.00,1,South Africa,Providence,7 Jun 2016
JR Hazlewood,/ci/content/player/288284.html,3,10.0,40,1,4.00,1,West Indies,Bridgetown,21 Jun 2016
JR Hazlewood,/ci/content/player/288284.html,0,10.0,40,1,4.00,1,Bangladesh,The Oval,5 Jun 2017
JR Hazlewood,/ci/content/player/288284.html,1,10.0,41,1,4.10,2,India,Sydney,26 Mar 2015
JR Hazlewood,/ci/content/player/288284.html,0,10.0,41,1,4.10,1,India,Perth,12 Jan 2016
PJ Cummins,/ci/content/player/489889.html,1,9.0,42,1,4.66,1,England,Sydney,16 Jan 2015
MG Johnson,/ci/content/player/6033.html,0,10.0,42,1,4.20,1,Pakistan,Adelaide,20 Mar 2015
PJ Cummins,/ci/content/player/489889.html,1,10.0,42,1,4.20,1,Pakistan,Perth,19 Jan 2017
MA Starc,/ci/content/player/311592.html,0,7.0,42,1,6.00,2,Pakistan,Sydney,22 Jan 2017
DJ Worrall,/ci/content/player/557298.html,0,10.0,43,1,4.30,1,Ireland,Benoni,27 Sep 2016
MR Marsh,/ci/content/player/272450.html,0,8.0,43,1,5.37,1,Ireland,Benoni,27 Sep 2016
MA Starc,/ci/content/player/311592.html,1,9.0,44,1,4.88,1,England,Manchester,13 Sep 2015
A Zampa,/ci/content/player/379504.html,0,5.0,44,1,8.80,2,South Africa,Centurion,30 Sep 2016
AC Agar,/ci/content/player/505120.html,0,9.0,45,1,5.00,1,England,Manchester,8 Sep 2015
A Zampa,/ci/content/player/379504.html,0,10.0,45,1,4.50,1,New Zealand,Hamilton,8 Feb 2016
PJ Cummins,/ci/content/player/489889.html,0,8.0,45,1,5.62,2,Pakistan,Sydney,22 Jan 2017
