Player,Player Link,Minutes,Runs,Balls Faced,Fours,Sixes,Strike Rate,Inns,Opposition,Ground,Start Date
CA Lynn,/ci/content/player/326637.html,24,16,12,0,1,133.33,1,Pakistan,Brisbane,13 Jan 2017
DA Warner,/ci/content/player/219889.html,27,16,22,1,0,72.72,1,Pakistan,Melbourne,15 Jan 2017
SE Marsh,/ci/content/player/6683.html,37,16,21,3,0,76.19,2,New Zealand,Auckland,30 Jan 2017
AJ Finch,/ci/content/player/5334.html,24,15,18,3,0,83.33,2,England,Sydney,16 Jan 2015
GJ Maxwell,/ci/content/player/325026.html,22,15,15,1,0,100.00,1,England,Southampton,3 Sep 2015
AJ Finch,/ci/content/player/5334.html,37,15,27,2,0,55.55,1,England,Leeds,11 Sep 2015
NM Coulter-Nile,/ci/content/player/261354.html,16,15,10,1,0,150.00,1,West Indies,Bridgetown,26 Jun 2016
PJ Cummins,/ci/content/player/489889.html,35,15,32,0,0,46.87,1,Pakistan,Brisbane,13 Jan 2017
AJ Finch,/ci/content/player/5334.html,10,14,7,1,1,200.00,1,New Zealand,Auckland,28 Feb 2015
UT Khawaja,/ci/content/player/215155.html,20,14,14,3,0,100.00,1,West Indies,Bridgetown,26 Jun 2016
SPD Smith,/ci/content/player/267192.html,21,14,12,2,0,116.66,2,South Africa,Johannesburg,2 Oct 2016
MS Wade,/ci/content/player/230193.html,27,14,23,0,0,60.86,1,New Zealand,Melbourne,9 Dec 2016
BJ Haddin,/ci/content/player/5560.html,30,13*,11,1,0,118.18,2,India,Melbourne,18 Jan 2015
MR Marsh,/ci/content/player/272450.html,27,13,26,1,0,50.00,2,England,Manchester,8 Sep 2015
AJ Finch,/ci/content/player/5334.html,55,13,28,2,0,46.42,1,South Africa,Basseterre,11 Jun 2016
JP Faulkner,/ci/content/player/270484.html,29,13,19,1,0,68.42,2,Sri Lanka,Colombo (RPS),24 Aug 2016
TM Head,/ci/content/player/530011.html,21,13,20,1,0,65.00,2,Sri Lanka,Pallekele,4 Sep 2016
JP Faulkner,/ci/content/player/270484.html,21,13,13,1,0,100.00,1,New Zealand,Melbourne,9 Dec 2016
