Player,Player Link,Minutes,Runs,Balls Faced,Fours,Sixes,Strike Rate,Inns,Opposition,Ground,Start Date
MS Dhoni,/ci/content/player/28081.html,2,0,3,0,0,0.00,2,Australia,Canberra,20 Jan 2016
I Sharma,/ci/content/player/236779.html,8,0,3,0,0,0.00,2,Australia,Canberra,20 Jan 2016
JJ Bumrah,/ci/content/player/625383.html,4,0,1,0,0,0.00,2,New Zealand,Delhi,20 Oct 2016
KM Jadhav,/ci/content/player/290716.html,2,0,1,0,0,0.00,2,New Zealand,Ranchi,26 Oct 2016
MK Pandey,/ci/content/player/290630.html,4,0,5,0,0,0.00,1,New Zealand,Visakhapatnam,29 Oct 2016
V Kohli,/ci/content/player/253802.html,5,0,5,0,0,0.00,1,Sri Lanka,The Oval,8 Jun 2017
RG Sharma,/ci/content/player/34102.html,4,0,3,0,0,0.00,2,Pakistan,The Oval,18 Jun 2017
UT Yadav,/ci/content/player/376116.html,-,0,1,0,0,0.00,2,West Indies,North Sound,2 Jul 2017
HH Pandya,/ci/content/player/625371.html,-,0,3,0,0,0.00,2,Sri Lanka,Pallekele,24 Aug 2017
KM Jadhav,/ci/content/player/290716.html,-,0,2,0,0,0.00,2,Sri Lanka,Pallekele,27 Aug 2017
V Kohli,/ci/content/player/253802.html,-,0,4,0,0,0.00,1,Australia,Chennai,17 Sep 2017
MK Pandey,/ci/content/player/290630.html,-,0,2,0,0,0.00,1,Australia,Chennai,17 Sep 2017
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,1,Australia,Melbourne,18 Jan 2015
AR Patel,/ci/content/player/554691.html,-,DNB,-,-,-,-,1,Australia,Sydney,26 Jan 2015
RA Jadeja,/ci/content/player/234675.html,-,DNB,-,-,-,-,1,Australia,Sydney,26 Jan 2015
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,-,1,Australia,Sydney,26 Jan 2015
I Sharma,/ci/content/player/236779.html,-,DNB,-,-,-,-,1,Australia,Sydney,26 Jan 2015
STR Binny,/ci/content/player/27223.html,-,DNB,-,-,-,-,1,Australia,Sydney,26 Jan 2015
SK Raina,/ci/content/player/33335.html,-,DNB,-,-,-,-,1,Australia,Sydney,26 Jan 2015
Mohammed Shami,/ci/content/player/481896.html,-,DNB,-,-,-,-,1,Australia,Sydney,26 Jan 2015
MM Sharma,/ci/content/player/537119.html,-,DNB,-,-,-,-,1,Pakistan,Adelaide,15 Feb 2015
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,1,Pakistan,Adelaide,15 Feb 2015
MM Sharma,/ci/content/player/537119.html,-,DNB,-,-,-,-,1,South Africa,Melbourne,22 Feb 2015
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,1,South Africa,Melbourne,22 Feb 2015
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,2,U.A.E.,Perth,28 Feb 2015
MM Sharma,/ci/content/player/537119.html,-,DNB,-,-,-,-,2,U.A.E.,Perth,28 Feb 2015
RA Jadeja,/ci/content/player/234675.html,-,DNB,-,-,-,-,2,U.A.E.,Perth,28 Feb 2015
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,-,2,U.A.E.,Perth,28 Feb 2015
R Ashwin,/ci/content/player/26421.html,-,DNB,-,-,-,-,2,U.A.E.,Perth,28 Feb 2015
AM Rahane,/ci/content/player/277916.html,-,DNB,-,-,-,-,2,U.A.E.,Perth,28 Feb 2015
SK Raina,/ci/content/player/33335.html,-,DNB,-,-,-,-,2,U.A.E.,Perth,28 Feb 2015
B Kumar,/ci/content/player/326016.html,-,DNB,-,-,-,-,2,U.A.E.,Perth,28 Feb 2015
Mohammed Shami,/ci/content/player/481896.html,-,DNB,-,-,-,-,2,West Indies,Perth,6 Mar 2015
MM Sharma,/ci/content/player/537119.html,-,DNB,-,-,-,-,2,West Indies,Perth,6 Mar 2015
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,2,West Indies,Perth,6 Mar 2015
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,2,Ireland,Hamilton,10 Mar 2015
Mohammed Shami,/ci/content/player/481896.html,-,DNB,-,-,-,-,2,Ireland,Hamilton,10 Mar 2015
MM Sharma,/ci/content/player/537119.html,-,DNB,-,-,-,-,2,Ireland,Hamilton,10 Mar 2015
RA Jadeja,/ci/content/player/234675.html,-,DNB,-,-,-,-,2,Ireland,Hamilton,10 Mar 2015
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,-,2,Ireland,Hamilton,10 Mar 2015
R Ashwin,/ci/content/player/26421.html,-,DNB,-,-,-,-,2,Ireland,Hamilton,10 Mar 2015
SK Raina,/ci/content/player/33335.html,-,DNB,-,-,-,-,2,Ireland,Hamilton,10 Mar 2015
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,2,Zimbabwe,Auckland,14 Mar 2015
Mohammed Shami,/ci/content/player/481896.html,-,DNB,-,-,-,-,2,Zimbabwe,Auckland,14 Mar 2015
MM Sharma,/ci/content/player/537119.html,-,DNB,-,-,-,-,2,Zimbabwe,Auckland,14 Mar 2015
RA Jadeja,/ci/content/player/234675.html,-,DNB,-,-,-,-,2,Zimbabwe,Auckland,14 Mar 2015
R Ashwin,/ci/content/player/26421.html,-,DNB,-,-,-,-,2,Zimbabwe,Auckland,14 Mar 2015
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,1,Bangladesh,Melbourne,19 Mar 2015
Mohammed Shami,/ci/content/player/481896.html,-,DNB,-,-,-,-,1,Bangladesh,Melbourne,19 Mar 2015
MM Sharma,/ci/content/player/537119.html,-,DNB,-,-,-,-,1,Bangladesh,Melbourne,19 Mar 2015
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,1,Bangladesh,Dhaka,24 Jun 2015
DS Kulkarni,/ci/content/player/277955.html,-,DNB,-,-,-,-,1,Bangladesh,Dhaka,24 Jun 2015
R Ashwin,/ci/content/player/26421.html,-,DNB,-,-,-,-,1,Bangladesh,Dhaka,24 Jun 2015
B Kumar,/ci/content/player/326016.html,-,DNB,-,-,-,-,1,Zimbabwe,Harare,10 Jul 2015
Harbhajan Singh,/ci/content/player/29264.html,-,DNB,-,-,-,-,1,Zimbabwe,Harare,10 Jul 2015
DS Kulkarni,/ci/content/player/277955.html,-,DNB,-,-,-,-,1,Zimbabwe,Harare,10 Jul 2015
DS Kulkarni,/ci/content/player/277955.html,-,DNB,-,-,-,-,1,Zimbabwe,Harare,12 Jul 2015
B Kumar,/ci/content/player/326016.html,-,DNB,-,-,-,-,1,Zimbabwe,Harare,14 Jul 2015
MM Sharma,/ci/content/player/537119.html,-,DNB,-,-,-,-,1,Zimbabwe,Harare,14 Jul 2015
AR Patel,/ci/content/player/554691.html,-,DNB,-,-,-,-,1,Zimbabwe,Harare,14 Jul 2015
Harbhajan Singh,/ci/content/player/29264.html,-,DNB,-,-,-,-,1,Zimbabwe,Harare,14 Jul 2015
R Ashwin,/ci/content/player/26421.html,-,DNB,-,-,-,-,2,South Africa,Kanpur,11 Oct 2015
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,2,South Africa,Kanpur,11 Oct 2015
A Mishra,/ci/content/player/31107.html,-,DNB,-,-,-,-,2,South Africa,Rajkot,18 Oct 2015
B Kumar,/ci/content/player/326016.html,-,DNB,-,-,-,-,2,South Africa,Rajkot,18 Oct 2015
MM Sharma,/ci/content/player/537119.html,-,DNB,-,-,-,-,2,South Africa,Rajkot,18 Oct 2015
A Mishra,/ci/content/player/31107.html,-,DNB,-,-,-,-,1,South Africa,Chennai,22 Oct 2015
MM Sharma,/ci/content/player/537119.html,-,DNB,-,-,-,-,1,South Africa,Chennai,22 Oct 2015
AM Rahane,/ci/content/player/277916.html,-,DNB,-,-,-,-,1,Australia,Perth,12 Jan 2016
R Ashwin,/ci/content/player/26421.html,-,DNB,-,-,-,-,1,Australia,Perth,12 Jan 2016
MK Pandey,/ci/content/player/290630.html,-,DNB,-,-,-,-,1,Australia,Perth,12 Jan 2016
B Kumar,/ci/content/player/326016.html,-,DNB,-,-,-,-,1,Australia,Perth,12 Jan 2016
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,1,Australia,Perth,12 Jan 2016
BB Sran,/ci/content/player/537126.html,-,DNB,-,-,-,-,1,Australia,Perth,12 Jan 2016
